[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
8313324,SINGA,Urizen Shipping Ltd,Urizen Shipping Ltd,Urizen Shipping Ltd,TLU,18293,198.80000305175781,28.799999237060547,13.0,Vehicles Carrier
9383429,MORNING LYNN,S331 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,28092,232.3699951171875,32.259998321533203,32.639999389648438,Vehicles Carrier
8608169,HYUNDAI NO. 107,Halat Navigation No 2 SA,Zodiac Maritime Ltd,Hyundai Glovis Co Ltd,LIB,12939,184.27999877929688,30.610000610351563,27.610000610351563,Vehicles Carrier
9289910,MORNING MIDAS,Lombard Corporate December 3,Zodiac Maritime Ltd,EUKOR Car Carriers Inc,GBI,12249,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
8709157,NOCC CORAL,NOCC Coral AS,Norwegian Car Carriers AS,Neptune Lines Shipping,MAI,12706,183.89999389648438,30.600000381469727,30.229999542236328,Vehicles Carrier
9213806,SIRIUS LEADER,SSC Sirius Leader Pte Ltd,SSC Ship Management Pte Ltd,NYK Line,SNG,16451,180.0,32.259998321533203,34.599998474121094,Vehicles Carrier
8708244,SOLAR WING,Wing Car Carrier SA,MOLSHIP,Mitsui OSK Lines Ltd,LIB,13224,187.02999877929688,32.209999084472656,27.819999694824219,Vehicles Carrier
9427938,PAGANINO,Paganino,Laeisz Reederei,Laeisz Reederei,GEU,11373,183.00999450683594,31.5,31.799999237060547,Vehicles Carrier
9338876,SALVIA ACE,Polar Express SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,15013,186.02999877929688,28.200000762939453,29.430000305175781,Vehicles Carrier
9681431,MORNING PRIDE,2629 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,22675,199.89999389648438,35.400001525878906,35.490001678466797,Vehicles Carrier
8204975,TAIKO,Wilhelmsen Lines Shipowning AS,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,NIS,43986,262.07998657226563,32.259998321533203,21.010000228881836,Vehicles Carrier
9392341,VENUS LEADER,Encantada Maritima SA,NYK Line,NYK Line,PAN,15031,186.02999877929688,28.200000762939453,29.430000305175781,Vehicles Carrier
9395630,VIOLET ACE,Violet Ray Ltd,Ray Car Carriers Ltd,Mitsui OSK Lines Ltd,BAH,13370,189.30000305175781,32.259998321533203,33.540000915527344,Vehicles Carrier
9051820,CAR STAR,Atwood Shipping Inc,XT Management Ltd,Zim Integrated Shipping,LIB,17189,195.53999328613281,28.799999237060547,29.899999618530273,Vehicles Carrier
9432919,OSAKA CAR,Kosted Shipping Inc,Eastern Pacific Shipping Pte,Eastern Pacific Shipping Pte,SNG,12321,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
9325790,DREAM DIVA,Dynamic Spirit Shipping SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,15068,186.0,28.200000762939453,29.430000305175781,Vehicles Carrier
9397987,AQUAMARINE ACE,Polar Express SA,MOLSHIP,Mitsui OSK Lines Ltd,CAY,18772,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9325764,EASTERN HIGHWAY,Bulkstar Enterprise Co Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,12991,188.02999877929688,28.200000762939453,27.409999847412109,Vehicles Carrier
9363950,CLOVER ACE,Golden Helm Shipping Co SA,Osaka Fleet Co Ltd,Mitsui OSK Lines Ltd,LIB,17280,199.99000549316406,32.259998321533203,34.259998321533203,Vehicles Carrier
9293595,EUPHONY ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,18944,199.94999694824219,32.200000762939453,34.200000762939453,Vehicles Carrier
