[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth]
9088249,HOEGH INCHON,Hoegh Autoliners Shpg Pte Ltd,Hoegh Autoliners AS,Hoegh Autoliners AS,SNG,"12,490.00",179.48,32.2,29.6
9272888,INDIANA HIGHWAY,Kawasaki Kisen Kaisha Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,JPN,"17,442.00",199.94,32.2,33.74
9610406,VICTORIOUS ACE,White Bear Maritime Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"18,396.00",199.95,32.2,34.2
9481049,VIKING AMBER,Gram Car Carriers Holdings,Gram & Co AS,Eastern Car Liner Ltd,SNG,"12,471.00",167.25,28,30.09
8502468,CENTURY LEADER NO. 3,NYK Line,Hachiuma Steamship Co Ltd,NYK Line,JPN,"14,155.00",178.5,32.21,20.63
9362267,LONDON HIGHWAY,ISC 1400 Shipping SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"17,765.00",199.94,32.2,33.74
9325180,CSAV RIO NEVADO,Lombard Corporate December 3,Zodiac Maritime Ltd,CSAV,LIB,"12,322.00",182.8,31.5,31.8
9372315,LUNA SPIRIT,Mizuho Sangyo/Fair Wind Nav,Nissan Motor Car Carrier,Nissan Motor Car Carrier,PAN,"15,261.00",180,30,33.52
9669031,MORNING PILOT,2611 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,"22,675.00",199.9,35.4,35.49
9122942,GLOVIS COMET,Hyundai Glovis Co Ltd,Haeyoung Maritime Serv Co Ltd,Hyundai Glovis Co Ltd,KRS,"21,421.00",199.98,32.26,32.09
9391581,CSCC ASIA,Asia Maritime Ltd,Ray Car Carriers Ltd,China Shipping Car Carrier Inc,BAH,"21,037.00",199.9,32.26,32.64
9293911,FELICITY ACE,Snowscape Car Carriers SA,MOLSHIP,Mitsui OSK Lines Ltd,PAN,"17,738.00",199.99,32.26,34.41
9056296,GEMINI LEADER,Yashi Maritima SA,Yashi Maritima SA,Yashi Maritima SA,PAN,"14,930.00",180,32.26,34.5
9293894,FIRMAMENT ACE,Aurora Car Maritime Trans SA,MOLSHIP,Mitsui OSK Lines Ltd,BAH,"17,713.00",199.99,32.26,34.41
9293909,GLOVIS CONDUCTOR,SFL Conductor Inc,OSM Ship Management Pte Ltd,Hyundai Glovis Co Ltd,PAN,"17,709.00",199.99,32.26,34.41
8709119,GMT POLARIS,Link Ocean Shipping SA,Doriko Ltd,Hyundai Glovis Co Ltd,PAN,"9,694.00",174,28.01,27.36
8705307,GOLDEN ARROW,Lychee Maritime SA,RCL Shipmanagement Pte Ltd,Meiko Marine,PAN,"7,021.00",136.66,20.01,14.05
8511263,GOLDEN FAN,Jafett Shipping Inc,Kawasaki Kisen Kaisha Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"11,241.00",162.34,26.81,23.4
9426374,PLEIADES LEADER,Strawberry Leasing Ltd,NYK Line,NYK Line,JPN,"21,462.00",199.94,32.26,34.8
9267663,GRAND EAGLE,Dynamic Twinkle Shipping,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"19,048.00",199.5,32.26,35.8
8309579,TAGUS,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,Wallenius Wilhelmsen Logistics,NIS,"21,900.00",195.3,32.26,21.7
9673381,HOEGH JEDDAH,LH Shiplease 1 AS,Hoegh Autoliners AS,Hoegh Autoliners AS,NIS,"20,407.00",199.95,32.26,32.57
9377511,TIJUCA,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,NIS,"30,089.00",231.6,32.26,34.7
8016550,MEDEA,Wallenius Lines Singapore,Wallenius Marine Singapore Pte,Wallenius Wilhelmsen Logistics,SNG,"28,566.00",198,32.25,31.2
9338694,MORNING CHARLOTTE,Los Halillos Shipping Co SA,Shoei Kisen Kaisha Ltd,EUKOR Car Carriers Inc,PAN,"22,578.00",199.94,32.26,34.8
8709121,CITY OF BEIRUT,Byblos Maritime Ltd,Abou Merhi Lines SAL,Abou Merhi Lines SAL,PAN,"9,694.00",174,28.01,27.36
9360568,DREAM ORCHID,Dynamic Wave Shipping SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"15,097.00",186.03,28.2,29.43
9303558,HOEGH CHIBA,Hoegh Autoliners Shipping AS,Hoegh Autoliners AS,Hoegh Autoliners AS,NIS,"19,670.00",199.1,32.2,34.1
9070462,K. ASIAN BEAUTY,AB Maritime SA-PAN,Korea Line Corp,Hyundai Glovis Co Ltd,PAN,"13,308.00",184.7,30.6,19.32
