ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-17,250792.01038092928,232668.4250138169,889262.4267528825,237838.83696847578,264185.72663930996,306297.6249570009,-15916.077083049177,636168.6628755175,306297.6249570009,-15916.077083049177,636168.6628755175,0.0,0.0,0.0,557089.6353379302
2022-06-18,250809.28626472745,260245.11087376435,918146.1552051877,237853.57299874813,264212.8507699281,331526.6118065385,5262.951887008046,656323.2624135038,331526.6118065385,5262.951887008046,656323.2624135038,0.0,0.0,0.0,582335.8980712659
2022-06-19,250826.5621485255,284575.1347004643,936728.83179955,237868.30902902046,264239.97490054625,356247.1965861,41720.68203648659,675434.2332098103,356247.1965861,41720.68203648659,675434.2332098103,0.0,0.0,0.0,607073.7587346255
2022-06-20,250843.83803232358,317156.04897619307,938777.4497846765,237883.04505929278,264267.1034584139,379870.5986983383,70301.20999599075,687646.299290889,379870.5986983383,70301.20999599075,687646.299290889,0.0,0.0,0.0,630714.4367306619
2022-06-21,250861.11391612163,352097.6053044193,956355.4608956554,237898.1497544242,264294.236443531,401817.09083295474,109507.43393279506,699525.3525955871,401817.09083295474,109507.43393279506,699525.3525955871,0.0,0.0,0.0,652678.2047490764
2022-06-22,250878.38979991974,377372.09627212054,952792.2409349731,237916.08915602404,264321.3694286482,421531.49838886736,141481.5689721132,697558.5433839965,421531.49838886736,141481.5689721132,697558.5433839965,0.0,0.0,0.0,672409.888188787
2022-06-23,250895.6656837178,424051.33154810977,962703.0611394945,237934.0285576238,264348.50241376535,438498.27938073676,180011.50721561935,694323.6223519073,438498.27938073676,180011.50721561935,694323.6223519073,0.0,0.0,0.0,689393.9450644546
2022-06-24,250912.94156751593,456066.3049362246,949210.6542438534,237951.96795922366,264375.63539888256,452255.7761541178,213648.8040528599,684937.736647622,452255.7761541178,213648.8040528599,684937.736647622,0.0,0.0,0.0,703168.7177216337
2022-06-25,250930.21745131398,487308.52759748895,926328.7838460256,237969.90736082342,264395.8233188559,462409.24928602757,245396.30107646543,665208.6777941298,462409.24928602757,245396.30107646543,665208.6777941298,0.0,0.0,0.0,713339.4667373416
2022-06-26,250947.49333511209,520664.84318288346,908195.7677296707,237987.84676242332,264413.7500538287,468642.3338442691,285747.54759747465,639620.2303518051,468642.3338442691,285747.54759747465,639620.2303518051,0.0,0.0,0.0,719589.8271793812
2022-06-27,250964.76921891014,564051.0566046493,883202.4346913215,238005.78616402307,264431.6767888015,470726.5979411814,321049.68964234047,611100.7115462037,470726.5979411814,321049.68964234047,611100.7115462037,0.0,0.0,0.0,721691.3671600915
